Sample_name,Locus,file1,file2
52,LerayXT,Locus_LerayXT_52_S52_L001_R1_001.fastq,Locus_LerayXT_52_S52_L001_R2_001.fastq
53,LerayXT,Locus_LerayXT_53_S53_L001_R1_001.fastq,Locus_LerayXT_53_S53_L001_R2_001.fastq
54,LerayXT,Locus_LerayXT_54_S54_L001_R1_001.fastq,Locus_LerayXT_54_S54_L001_R2_001.fastq
55,LerayXT,Locus_LerayXT_55_S55_L001_R1_001.fastq,Locus_LerayXT_55_S55_L001_R2_001.fastq
56,LerayXT,Locus_LerayXT_56_S56_L001_R1_001.fastq,Locus_LerayXT_56_S56_L001_R2_001.fastq
57,LerayXT,Locus_LerayXT_57_S57_L001_R1_001.fastq,Locus_LerayXT_57_S57_L001_R2_001.fastq
58,LerayXT,Locus_LerayXT_58_S58_L001_R1_001.fastq,Locus_LerayXT_58_S58_L001_R2_001.fastq
59,LerayXT,Locus_LerayXT_59_S59_L001_R1_001.fastq,Locus_LerayXT_59_S59_L001_R2_001.fastq
60,LerayXT,Locus_LerayXT_60_S60_L001_R1_001.fastq,Locus_LerayXT_60_S60_L001_R2_001.fastq
61,LerayXT,Locus_LerayXT_61_S61_L001_R1_001.fastq,Locus_LerayXT_61_S61_L001_R2_001.fastq
62,LerayXT,Locus_LerayXT_62_S62_L001_R1_001.fastq,Locus_LerayXT_62_S62_L001_R2_001.fastq
63,LerayXT,Locus_LerayXT_63_S63_L001_R1_001.fastq,Locus_LerayXT_63_S63_L001_R2_001.fastq
64,LerayXT,Locus_LerayXT_64_S64_L001_R1_001.fastq,Locus_LerayXT_64_S64_L001_R2_001.fastq
65,LerayXT,Locus_LerayXT_65_S65_L001_R1_001.fastq,Locus_LerayXT_65_S65_L001_R2_001.fastq
66,LerayXT,Locus_LerayXT_66_S66_L001_R1_001.fastq,Locus_LerayXT_66_S66_L001_R2_001.fastq
67,LerayXT,Locus_LerayXT_67_S67_L001_R1_001.fastq,Locus_LerayXT_67_S67_L001_R2_001.fastq
68,LerayXT,Locus_LerayXT_68_S68_L001_R1_001.fastq,Locus_LerayXT_68_S68_L001_R2_001.fastq
69,LerayXT,Locus_LerayXT_69_S69_L001_R1_001.fastq,Locus_LerayXT_69_S69_L001_R2_001.fastq
70,LerayXT,Locus_LerayXT_70_S70_L001_R1_001.fastq,Locus_LerayXT_70_S70_L001_R2_001.fastq
71,LerayXT,Locus_LerayXT_71_S71_L001_R1_001.fastq,Locus_LerayXT_71_S71_L001_R2_001.fastq
72,LerayXT,Locus_LerayXT_72_S72_L001_R1_001.fastq,Locus_LerayXT_72_S72_L001_R2_001.fastq
73,LerayXT,Locus_LerayXT_73_S73_L001_R1_001.fastq,Locus_LerayXT_73_S73_L001_R2_001.fastq
74,LerayXT,Locus_LerayXT_74_S74_L001_R1_001.fastq,Locus_LerayXT_74_S74_L001_R2_001.fastq
75,LerayXT,Locus_LerayXT_75_S75_L001_R1_001.fastq,Locus_LerayXT_75_S75_L001_R2_001.fastq
76,LerayXT,Locus_LerayXT_76_S76_L001_R1_001.fastq,Locus_LerayXT_76_S76_L001_R2_001.fastq
77,LerayXT,Locus_LerayXT_77_S77_L001_R1_001.fastq,Locus_LerayXT_77_S77_L001_R2_001.fastq
78,LerayXT,Locus_LerayXT_78_S78_L001_R1_001.fastq,Locus_LerayXT_78_S78_L001_R2_001.fastq
79,LerayXT,Locus_LerayXT_79_S79_L001_R1_001.fastq,Locus_LerayXT_79_S79_L001_R2_001.fastq
80,LerayXT,Locus_LerayXT_80_S80_L001_R1_001.fastq,Locus_LerayXT_80_S80_L001_R2_001.fastq
81,LerayXT,Locus_LerayXT_81_S81_L001_R1_001.fastq,Locus_LerayXT_81_S81_L001_R2_001.fastq
82,LerayXT,Locus_LerayXT_82_S82_L001_R1_001.fastq,Locus_LerayXT_82_S82_L001_R2_001.fastq
83,LerayXT,Locus_LerayXT_83_S83_L001_R1_001.fastq,Locus_LerayXT_83_S83_L001_R2_001.fastq
84,LerayXT,Locus_LerayXT_84_S84_L001_R1_001.fastq,Locus_LerayXT_84_S84_L001_R2_001.fastq
85,LerayXT,Locus_LerayXT_85_S85_L001_R1_001.fastq,Locus_LerayXT_85_S85_L001_R2_001.fastq
86,LerayXT,Locus_LerayXT_86_S86_L001_R1_001.fastq,Locus_LerayXT_86_S86_L001_R2_001.fastq
87,LerayXT,Locus_LerayXT_87_S87_L001_R1_001.fastq,Locus_LerayXT_87_S87_L001_R2_001.fastq
88,LerayXT,Locus_LerayXT_88_S88_L001_R1_001.fastq,Locus_LerayXT_88_S88_L001_R2_001.fastq
89,LerayXT,Locus_LerayXT_89_S89_L001_R1_001.fastq,Locus_LerayXT_89_S89_L001_R2_001.fastq
90,LerayXT,Locus_LerayXT_90_S90_L001_R1_001.fastq,Locus_LerayXT_90_S90_L001_R2_001.fastq
91,LerayXT,Locus_LerayXT_91_S91_L001_R1_001.fastq,Locus_LerayXT_91_S91_L001_R2_001.fastq
92,LerayXT,Locus_LerayXT_92_S92_L001_R1_001.fastq,Locus_LerayXT_92_S92_L001_R2_001.fastq
93,LerayXT,Locus_LerayXT_93_S93_L001_R1_001.fastq,Locus_LerayXT_93_S93_L001_R2_001.fastq
94,LerayXT,Locus_LerayXT_94_S94_L001_R1_001.fastq,Locus_LerayXT_94_S94_L001_R2_001.fastq
